MinReturn,AverageAbsY,AverageReturn,AverageY,StdReturn,StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageQ,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAction,Iteration,AverageAbsQ,AverageEsReturn,AverageAbsQYDiff,QFunRegParamNorm,Epoch
2695.71990028,5.41831779673,2789.18170428,5.41825423636,60.7490548984,0.0,-5.54072,236.522274445,2926.65090225,997.811484161,5.41697,0.0480715,36.5147,997.811484161,0.928712,72,5.41697,997.811484161,0.12661630313,34.1722,72
1659.25241082,5.53707237532,2680.37768596,5.53700053764,356.623882717,0.0,-5.66207,230.377916209,2917.89152023,392.009311065,5.53582,0.0555481,36.8208,392.009311065,0.952873,73,5.53582,392.009311065,0.128434922466,34.3891,73
1043.85769019,5.65729410692,2695.63598085,5.65723222701,782.116169059,0.0,-5.78229,269.295827711,3331.75048699,1802.05422477,5.65608,0.062043,37.1079,1802.05422477,0.936686,74,5.65608,1802.05422477,0.132298260867,34.6829,74
360.921190585,5.78471808534,931.084090128,5.78466634908,547.178495306,0.0,-5.90367,185.500020778,2249.01392227,1139.60872394,5.7838,0.0600397,37.4535,1139.60872394,0.938969,75,5.7838,1139.60872394,0.133484327442,34.9859,75
502.925178248,5.94752764508,2001.53819519,5.94750455827,845.014395791,0.0,-6.07378,228.538082772,2871.02681038,1946.74847196,5.94645,0.0590875,37.7119,1946.74847196,0.929283,76,5.94645,1946.74847196,0.133689974525,35.2931,76
145.566362927,6.12035192205,775.880405929,6.12030845312,717.16056359,0.0,-6.25026,197.305856144,2546.71304314,2018.36747323,6.11922,0.0637846,37.9518,2018.36747323,0.938141,77,6.11922,2018.36747323,0.137278568736,35.6023,77
69.6048743277,6.28390866372,606.441906806,6.28384226403,658.960380685,0.0,-6.40688,155.303554154,2415.08056435,1994.8426237,6.28306,0.0647035,38.2247,1994.8426237,0.955275,78,6.28306,1994.8426237,0.137691689852,35.9021,78
1636.7418183,6.47716554213,2991.42314474,6.47709958703,454.659533836,0.0,-6.59807,262.507278322,3236.85237668,2028.58493391,6.47557,0.0794434,38.4755,2028.58493391,0.946968,79,6.47557,2028.58493391,0.147919612042,36.18,79
-22.1475439101,6.5456440927,1822.75241704,6.54556523688,884.850071891,0.0,-6.6708,233.597447244,3113.284821,1846.76171967,6.54471,0.0696572,38.7439,1846.76171967,0.941727,80,6.54471,1846.76171967,0.142174425609,36.4737,80
2604.59032369,6.68446002021,3089.78952934,6.68439803855,182.276143178,0.0,-6.81311,250.365110771,3230.40551219,300.803740732,6.68318,0.0912873,39.0102,300.803740732,0.944138,81,6.68318,300.803740732,0.147580534311,36.754,81
2219.53295108,6.82743978255,3085.22130603,6.82739435104,306.047959869,0.0,-6.9535,266.164931345,3329.04011339,1258.72984916,6.82638,0.0697159,39.3096,1258.72984916,0.930907,82,6.82638,1258.72984916,0.145272703708,36.9984,82
679.660836384,6.99993751686,2596.3741914,6.9998726563,640.806455567,0.0,-7.12737,228.173370713,2906.73790006,2139.25647938,6.99882,0.10951,39.5529,2139.25647938,0.93325,83,6.99882,2139.25647938,0.156229210908,37.3507,83
2665.81943381,7.14080775146,2806.46966713,7.14076597669,85.978357614,0.0,-7.26555,241.408918784,2931.36511832,2084.45461755,7.13933,0.0870262,39.901,2084.45461755,0.939421,84,7.13933,2084.45461755,0.149569604509,37.728,84
506.188942006,7.25744367501,2008.69070538,7.25739891323,669.464333444,0.0,-7.39312,217.935883075,2635.08528989,1854.21082509,7.25604,0.0873668,40.099,1854.21082509,0.929201,85,7.25604,1854.21082509,0.152927702005,37.9849,85
2997.56445315,7.49789995628,3127.3637913,7.4978511254,63.5427082679,0.0,-7.62972,251.505627068,3236.00489295,1781.54780933,7.49611,0.118292,40.2852,1781.54780933,0.943352,86,7.49611,1781.54780933,0.164996171413,38.2607,86
345.659846083,7.63415255741,2054.64572876,7.63410606458,897.788885725,0.0,-7.7676,219.773357861,2856.53896407,2014.46000662,7.63329,0.0889981,40.5469,2014.46000662,0.952585,87,7.63329,2014.46000662,0.153856972654,38.4978,87
2918.84286608,7.88261522242,3082.82338883,7.88256529467,84.7309692615,0.0,-8.02681,265.594487767,3224.92084821,1888.33928958,7.88152,0.0776985,40.8179,1888.33928958,0.941621,88,7.88152,1888.33928958,0.152157465193,38.7231,88
1596.35956664,7.99076836831,2960.69617213,7.99070867594,461.821994241,0.0,-8.12924,254.041910022,3211.77578107,2010.88107657,7.98962,0.109289,40.9552,2010.88107657,0.94568,89,7.98962,2010.88107657,0.161357411728,38.9565,89
1411.61561298,8.19222049951,2351.04499884,8.1921938219,521.363376715,0.0,-8.32917,220.003995678,3115.47356489,2130.60548305,8.19082,0.11421,41.198,2130.60548305,0.947622,90,8.19082,2130.60548305,0.165724542349,39.2335,90
2768.64579548,8.29137438399,3108.41020272,8.29132050726,172.240750605,0.0,-8.43543,272.878339746,3366.47676011,2030.90940126,8.29025,0.089057,41.4605,2030.90940126,0.913405,91,8.29025,2030.90940126,0.159191574685,39.4587,91
2862.70520976,8.44528098629,3018.3157234,8.44520619018,100.656591706,0.0,-8.59048,251.162794184,3210.46210645,961.410026021,8.44378,0.114687,41.7099,961.410026021,0.93552,92,8.44378,961.410026021,0.163754642304,39.7124,92
2311.79378091,8.62129875761,3266.24234242,8.62121838011,330.488529885,0.0,-8.76692,287.622030403,3474.88298275,2134.49293747,8.62016,0.119508,41.958,2134.49293747,0.939738,93,8.62016,2134.49293747,0.16586849305,39.9646,93
1523.86717353,8.76775179496,3073.08193725,8.76771897816,620.280771133,0.0,-8.91064,287.328551831,3530.93195171,1872.51664751,8.76587,0.10605,42.2121,1872.51664751,0.945543,94,8.76587,1872.51664751,0.164315688605,40.1882,94
3370.07453249,8.98614480368,3603.88099122,8.98610818086,107.415795344,0.0,-9.13115,301.213528833,3760.7780628,2183.48668569,8.98485,0.141467,42.4221,2183.48668569,0.955716,95,8.98485,2183.48668569,0.170868727413,40.4173,95
3023.20648739,9.16257164783,3218.47042412,9.16252016344,87.1499234977,0.0,-9.31578,264.126834787,3391.92727474,2446.48540988,9.16123,0.151349,42.623,2446.48540988,0.954503,96,9.16123,2446.48540988,0.173872356217,40.5992,96
3199.36159881,9.40890358605,3311.38598997,9.40886525906,57.9442981921,0.0,-9.55979,282.728399914,3418.13480989,1929.25004918,9.40781,0.0968561,42.897,1929.25004918,0.931793,97,9.40781,1929.25004918,0.162108966215,40.8373,97
3425.66884564,9.48928115947,3520.55625708,9.48921600375,47.6388442595,0.0,-9.637,292.425734793,3620.78893488,2356.12609528,9.48821,0.149038,43.1613,2356.12609528,0.947198,98,9.48821,2356.12609528,0.176521559058,41.0952,98
3218.33364072,9.62568264708,3305.80125293,9.62563307176,40.7159194059,0.0,-9.76762,275.610024655,3356.20999597,784.483876451,9.62381,0.141567,43.3622,784.483876451,0.931423,99,9.62381,784.483876451,0.175419791946,41.3611,99
3312.84057176,9.76705829496,3414.14720516,9.7670211639,43.4397826156,0.0,-9.90722,284.558600951,3464.73249849,2253.19555197,9.76535,0.178781,43.5703,2253.19555197,0.930502,100,9.76535,2253.19555197,0.184571180764,41.5836,100
2778.69618463,9.88488617408,2870.40090132,9.88486040116,55.4297749855,0.0,-10.0258,246.975936123,3005.03885501,1965.47520842,9.88377,0.142905,43.7835,1965.47520842,0.919063,101,9.88377,1965.47520842,0.172431484283,41.8007,101
3427.71497667,10.1573169059,3499.07130428,10.1572676257,31.9746973988,0.0,-10.2957,294.178422332,3549.39528367,2246.93236736,10.1559,0.188184,44.0128,2246.93236736,0.934435,102,10.1559,2246.93236736,0.181842276302,42.1265,102
3121.59303783,10.3022171268,3358.71804575,10.3021889954,94.5279626734,0.0,-10.4438,281.084936449,3509.52054853,2411.75432742,10.3012,0.127598,44.2292,2411.75432742,0.943792,103,10.3012,2411.75432742,0.169891463268,42.2709,103
3164.56485444,10.522968595,3302.69073893,10.5229123691,65.6281535692,0.0,-10.6709,278.297644689,3371.05832224,2121.77608652,10.5218,0.18178,44.4226,2121.77608652,0.939101,104,10.5218,2121.77608652,0.184152031932,42.5706,104
3518.05995662,10.6113409944,3618.78006794,10.6112823342,60.7765948049,0.0,-10.7573,299.47767832,3713.40308222,2358.09584499,10.6098,0.166037,44.6579,2358.09584499,0.956164,105,10.6098,2358.09584499,0.179880604572,42.8616,105
2777.75725858,10.7944878192,2867.30205125,10.794458943,48.5572282797,0.0,-10.9369,247.734678433,2949.49207926,2382.39894058,10.7931,0.160414,44.8544,2382.39894058,0.92526,106,10.7931,2382.39894058,0.177155808453,43.0811,106
3249.56984659,10.9713556451,3399.07480614,10.9713452541,77.073528143,0.0,-11.1165,287.232972794,3484.6674572,2318.96990895,10.9703,0.17568,45.0912,2318.96990895,0.912009,107,10.9703,2318.96990895,0.183255468821,43.2962,107
3303.61468653,11.1655994482,3446.97194896,11.1655553649,56.8479382232,0.0,-11.3098,279.607944474,3503.40402516,2402.78091799,11.165,0.201417,45.296,2402.78091799,0.920796,108,11.165,2402.78091799,0.181574610572,43.4762,108
3389.76692596,11.299045999,3449.08567918,11.2990195486,31.1466708274,0.0,-11.4488,290.296245896,3491.73018203,2190.60282763,11.2978,0.129232,45.4587,2190.60282763,0.931036,109,11.2978,2190.60282763,0.174986171298,43.6846,109
3366.12914729,11.4635823818,3471.98263695,11.4635415452,75.2477552271,0.0,-11.6139,288.481220398,3649.06212449,2448.75456717,11.4616,0.236011,45.708,2448.75456717,0.923588,110,11.4616,2448.75456717,0.190629025776,43.9768,110
762.684008115,11.6900807783,2292.82826628,11.6900063799,710.054542624,0.0,-11.8485,261.812188602,2931.20004446,2191.37072865,11.6889,0.15788,45.9054,2191.37072865,0.950943,111,11.6889,2191.37072865,0.178182378498,44.1715,111
3553.96294518,11.8262555067,3606.57154049,11.8262112367,48.130900153,0.0,-11.9827,301.463225896,3700.8921753,2547.98049705,11.8251,0.147785,46.1185,2547.98049705,0.951252,112,11.8251,2547.98049705,0.179385070629,44.3845,112
3560.78810734,12.0504502489,3629.05732107,12.0504050609,40.5598747184,0.0,-12.2127,297.716552727,3711.56680464,2441.1836974,12.049,0.203881,46.3459,2441.1836974,0.937326,113,12.049,2441.1836974,0.186634623705,44.6299,113
3657.62993979,12.1603742277,3739.87167247,12.1603395961,59.8670865745,0.0,-12.3116,319.480694346,3869.0449846,2201.89057745,12.159,0.229106,46.6206,2201.89057745,0.922514,114,12.159,2201.89057745,0.198251146242,44.8451,114
3476.92184571,12.3757948379,3585.9475273,12.3757422388,61.6212917599,0.0,-12.5265,303.910690229,3664.57201527,2125.65342595,12.375,0.281184,46.8556,2125.65342595,0.953016,115,12.375,2125.65342595,0.199612907492,45.0916,115
3476.27960229,12.5916501093,3620.27264108,12.5916218386,84.0352506452,0.0,-12.745,306.190355351,3747.77071072,2137.64542422,12.5893,0.236567,47.038,2137.64542422,0.947236,116,12.5893,2137.64542422,0.196698423675,45.3226,116
3551.20218466,12.701661094,3632.53167958,12.7016147456,47.7483979982,0.0,-12.8579,303.975695602,3715.77902753,2376.21250354,12.6999,0.222116,47.1815,2376.21250354,0.942555,117,12.6999,2376.21250354,0.196605466003,45.5358,117
359.50657543,12.8575152918,2176.8315271,12.8574816846,1019.93069779,0.0,-13.0271,275.609250349,3517.75077544,2219.18745287,12.8558,0.254252,47.3864,2219.18745287,0.960323,118,12.8558,2219.18745287,0.19817952005,45.7773,118
