MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
90.1392465065,1.22313937803,3.95566935836,-4.04468,95.0190459999,0.0895542846477,0.0699433691498,92.8292025653,92.7011863405,71,44.1299,3.95200285169,71,92.9784012764,43.8266651704,0.0546463,0.99495,3.95576,27.0122,93.4332930388,3.95107
92.7295294741,0.512583101806,4.08784136949,-4.17702,94.6254688108,0.0951367906231,0.0675740039512,92.8089771523,92.6994986809,72,44.3546,4.08469733815,72,92.8999918037,43.6939139943,0.0666662,0.994283,4.08782,27.0134,93.7773049347,4.08381
90.1797272657,1.15871058774,4.22751021886,-4.32286,94.8733128709,0.0907635481084,0.071646054945,92.8125213147,92.6249007435,73,44.5569,4.224702029,73,92.8996389031,43.6968792353,0.0586815,0.993792,4.22758,27.084,93.9093972671,4.22399
89.3194946319,2.34590502729,4.32212848981,-4.41819,98.8223147886,0.0946812655585,0.0822467552011,92.6770117932,92.4058918733,74,44.7526,4.31968529059,74,92.7999808829,43.0126734639,0.0547017,0.99513,4.32157,27.2054,93.6108864784,4.31878
88.819627772,2.06875065751,4.45607632726,-4.56414,98.6510278907,0.0852473000652,0.0935080261926,93.0888595957,92.8404117882,75,44.9239,4.45436902298,75,93.2000683508,45.1726310691,0.0469429,0.992425,4.45551,27.205,94.3853926303,4.45371
91.7403743572,1.27905215733,4.56003132485,-4.67326,97.2368813847,0.0988481945277,0.0984824469638,92.8667031563,92.6086698737,76,45.0866,4.55869039312,76,93.000110079,43.9761712127,0.0633883,0.993298,4.55996,27.2847,93.8497547078,4.55819
89.8989088321,1.5223998801,4.69750225848,-4.81163,96.068231037,0.0801182591291,0.0950059114525,92.7964550176,92.5205207188,77,45.2756,4.69652047629,77,92.9002076794,43.597308793,0.0332967,0.993394,4.69692,27.3192,93.3752163858,4.69588
90.6682449842,2.01029474515,4.81748515367,-4.93436,99.6866276515,0.0866488344457,0.122796871554,92.9102468309,92.6203159844,78,45.5072,4.8168606991,78,93.0989758825,44.202530354,0.0367611,0.992903,4.81682,27.4148,94.2796374891,4.81633
90.9122513524,1.5808817528,4.98164333322,-5.10253,96.7806417518,0.0993267702177,0.12040800468,92.9707811451,92.6747483717,79,45.7388,4.98127598222,79,93.2030391211,44.5241722132,0.0566525,0.99259,4.98071,27.5186,93.762133636,4.98054
89.9431646964,1.55006875953,5.1060392202,-5.22744,94.4340986428,0.0838377431761,0.115529212701,93.2646952622,93.0101173774,80,45.9355,5.10595131404,80,93.4113609007,46.1494960448,0.0431732,0.991964,5.10567,27.551,92.7313038731,5.10564
87.9846453037,1.74857858008,5.2431927296,-5.36791,94.9352286309,0.0873557173503,0.111982118677,93.1767231173,92.9285813846,81,46.1404,5.24318997115,81,93.413741666,45.6402963458,0.0361814,0.991637,5.24238,27.6005,93.6109107675,5.24238
88.5516906418,2.60261390558,5.35143123568,-5.47462,96.9294651875,0.0973609098814,0.12319028772,93.1995415798,92.981209657,82,46.3924,5.35142893245,82,93.4198996327,45.7810840364,0.046548,0.991974,5.35063,27.7003,92.9589869973,5.35063
90.6014903949,2.1775635889,5.47943323558,-5.60848,99.8095204889,0.09269823282,0.116707088768,93.1303473879,92.835048459,83,46.6132,5.47942940524,83,93.3072039396,45.3997159625,0.0487243,0.99223,5.47861,27.7824,94.0868716523,5.47861
90.884221427,1.04650160149,5.58790977942,-5.71638,95.5287944946,0.0893765025923,0.106541489231,93.2634458782,93.0057106504,84,46.8764,5.58790761831,84,93.4130353496,46.1415934246,0.0369083,0.991951,5.5872,27.8672,94.0817350106,5.5872
89.4091871778,2.21733070179,5.70658866655,-5.83349,97.9866147023,0.100316136431,0.0889159488549,93.2961969002,93.1059749213,85,47.1747,5.70658441556,85,93.4037512332,46.3329393935,0.0470787,0.99212,5.70565,27.911,93.2320268606,5.70565
89.6183593656,2.90303057233,5.80372548259,-5.92658,98.5546248942,0.0918338521686,0.0751062676737,93.3721310726,93.2055469161,86,47.4301,5.80372376893,86,93.500535413,46.7795309526,0.0407578,0.992493,5.80271,27.9689,92.8208479112,5.80271
88.943468787,1.66141841191,5.93839966072,-6.05851,95.2349734917,0.0873860982399,0.0676772077356,93.3647646752,93.2030837187,87,47.7427,5.93839833869,87,93.498810634,46.7995487588,0.0372397,0.99439,5.9376,28.0215,93.6071142643,5.9376
91.2868484304,1.50689527738,6.04435943567,-6.16275,96.0939946882,0.0872211778904,0.0597424117509,93.4125829067,93.2234733335,88,48.0676,6.04435790475,88,93.5000466683,47.0816953164,0.0374242,0.994601,6.0435,28.0749,93.3992266854,6.0435
90.2347635579,2.36374475034,6.13031089533,-6.24409,99.1050203019,0.0988777032301,0.0783312521944,93.4273617586,93.2215561204,89,48.3884,6.13030854653,89,93.5883056157,47.2127043646,0.0528625,0.995954,6.12935,28.0917,93.8597397628,6.12935
90.0350321629,1.52410508857,6.23221997424,-6.34006,94.6740835743,0.0847294483596,0.120640391527,93.4013056926,93.104347023,90,48.6645,6.23221852208,90,93.5984414713,47.0572029507,0.0309697,0.995706,6.23126,28.1529,93.0407774766,6.23126
90.4870204006,1.56897725653,6.30354584104,-6.40453,96.9241399614,0.0931217047743,0.073749471532,93.4287988914,93.3009127671,91,48.9548,6.30354363224,91,93.5033836199,47.2657886918,0.0422294,0.997327,6.3026,28.1318,93.6811916921,6.3026
88.1457720761,2.52777851405,6.38718278235,-6.48334,97.8094646353,0.0917385055451,0.0650970767175,93.4169424632,93.3007145278,92,49.2094,6.38718192134,92,93.5041777735,47.1711261502,0.0429305,0.996539,6.38626,28.1989,93.0158934317,6.38626
