AverageQ,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,StdEsReturn,StdReturn,Iteration,Epoch,AverageReturn,AverageAbsY,AveragePolicySurr,MaxReturn,AverageY,PolicyRegParamNorm,AverageAbsQ
6.04539,0.994524,49.5523,89.11124693,0.0459177,93.6927895229,95.0077086828,0.0940747309416,47.0033938417,93.2239469425,1.56138554632,0.0904520643671,89,89,93.3992562865,6.04674261502,-6.15979,93.5139417398,6.04674069894,30.5264,6.04539
6.15828,0.994615,49.8938,86.9440373559,0.041914,93.2097266015,99.0868341121,0.0874507731555,47.0371879253,93.2234957357,3.22883109167,0.0922161293966,90,90,93.4045858863,6.15970667525,-6.2671,93.5945955288,6.15970447323,30.5942,6.15828
6.23494,0.99495,50.2777,89.204237934,0.0522134,93.4311643948,95.1393986853,0.095072982302,46.9865038394,93.2241902896,1.76423611327,0.0901794205948,91,91,93.3937953498,6.23600216474,-6.34111,93.5239973172,6.235998877,30.7117,6.23494
6.30904,0.991529,50.5561,82.8072870586,0.0385604,92.9269058558,97.8071930461,0.086236857916,47.1340237782,93.2940455293,4.02465273125,0.0841862174984,92,92,93.4389476132,6.31052716671,-6.40704,93.6009960256,6.3105256501,30.7962,6.30904
6.38668,0.981757,50.8484,91.1403210351,0.0331246,93.8165804996,96.8222861244,0.0811949676007,46.5104408239,93.1395651427,1.50663756276,0.146875597795,93,93,93.3879660806,6.38773134036,-6.4803,93.7520554376,6.38772951975,30.8935,6.38668
6.4686,0.976484,51.0622,80.5775963806,0.0411652,91.6264027874,94.3410582895,0.0838787079381,44.5236331298,92.2545538397,4.03063192224,0.295471602039,94,94,93.0655821324,6.4698233137,-6.55564,93.5215422808,6.4698193411,30.9889,6.4686
6.51244,0.984396,51.2832,87.4628270629,0.0401492,94.0405560805,99.0346210511,0.0869876361338,45.4696209866,92.9004811847,2.53154155471,0.160777968347,95,95,93.1900171202,6.51345527258,-6.59481,93.6005273442,6.51345340525,31.0332,6.51244
6.55411,0.989924,51.5114,90.6690913008,0.0306767,93.8635618699,94.8737018884,0.0766052113416,44.6788364658,92.66600624,1.2017667899,0.133003483215,96,96,93.0147615675,6.55515154834,-6.63156,93.2002972369,6.55515043241,31.1233,6.55411
6.59788,0.991967,51.6847,88.9343757181,0.0515673,93.6358569411,95.8688883804,0.0903587242694,45.7440699761,93.0477421025,1.72953401232,0.075053324787,97,97,93.1934765607,6.59891322589,-6.67067,93.3001605577,6.59890938999,31.1209,6.59788
6.64874,0.990015,51.902,90.4585592782,0.0186174,93.9940600058,99.3774509951,0.0664547567747,45.366528531,92.8879909935,2.09085758339,0.120284012014,98,98,93.1374860707,6.64936411043,-6.71368,93.300784953,6.64936306901,31.0685,6.64874
6.68376,0.989376,52.0546,89.8014947759,0.0391292,92.8682812212,95.2131656229,0.0855840073053,45.5177364161,92.9743580472,1.86573547413,0.0955237231813,99,99,93.1685262404,6.68431262039,-6.74301,93.3005524842,6.6843115424,31.0865,6.68376
