AverageDiscountedReturn,AverageQLoss,MaxEsReturn,AverageQ,MinEsReturn,QFunRegParamNorm,MaxReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageAction,Iteration,AverageEsReturn,StdEsReturn,AverageY,AverageAbsQ,MinReturn,Epoch,StdReturn
45.9754717554,0.0375907,97.2576089532,6.39854,89.1796880996,69.9488,93.3998607571,40.3108,-6.51182,6.39927785141,0.0946609859097,93.2226338259,0.993888,92,93.6919832346,1.87053041485,6.39927628971,6.39854,92.983853894,92,0.109548647988
46.1823741852,0.0454638,96.6080570132,6.46979,90.5897321467,70.5211,93.3997656434,40.4792,-6.57417,6.47065003249,0.104177497045,93.2688445346,0.992242,93,93.360643737,1.83439390885,6.47064749345,6.46979,93.0479948079,93,0.0965268446191
46.4515967868,0.0474873,95.0065831854,6.57288,89.8239393917,70.9666,93.5015411662,40.6847,-6.66724,6.57378678105,0.100786793218,93.3370635619,0.988625,94,92.5568691982,2.00976068325,6.57378430491,6.57288,93.0744795151,94,0.116522366879
47.2476563951,0.0426758,99.7,6.60773,90.7087039928,71.4631,93.7760755429,40.8955,-6.7018,6.60878720792,0.100603141138,93.675978629,0.953402,95,94.0006416177,2.2120599129,6.60878513299,6.60773,93.4877349726,95,0.084739498699
47.2391921295,0.0412294,98.335069528,6.68342,90.6929504047,71.9346,93.9319700683,41.1492,-6.76432,6.68398246221,0.0938254509849,93.7646390991,0.937788,96,94.2975725103,2.00840897066,6.68398008653,6.68342,93.3336689609,96,0.12066070069
46.9646666769,0.0539751,96.0624964784,6.71241,89.7752822225,72.3502,94.0384491436,41.3339,-6.7882,6.71312782861,0.10022434408,93.842090779,0.916612,97,93.2172181297,1.74007793361,6.71312343592,6.71241,93.4756434572,97,0.138512481788
46.8292795994,0.0298015,94.7297676455,6.76765,89.806291003,72.6389,94.096844552,41.4471,-6.83266,6.7678361713,0.0825053244891,93.8485222588,0.911738,98,93.2114032285,1.58747794752,6.7678353536,6.76765,93.4165209783,98,0.188631648351
46.6359218245,0.0437815,95.538467777,6.79476,89.6217678881,72.8974,94.0469108173,41.5741,-6.85434,6.79517024777,0.0891768096242,93.7482574966,0.923503,99,92.8817228473,2.42763354165,6.79516894483,6.79476,93.1302446185,99,0.294043820233
46.5374358512,0.0397966,94.8183226125,6.81272,88.8801628064,73.1906,94.0604171178,41.6542,-6.86505,6.81343782637,0.0880233336506,93.8737678998,0.899297,100,92.7079915144,2.19433123014,6.81343415607,6.81272,93.571521769,100,0.0999892236345
46.6681963636,0.0284804,95.426085555,6.82599,90.0635834952,73.4209,94.1040976727,41.6995,-6.87437,6.82621805433,0.0726566659449,93.9083785909,0.896807,101,92.6016547622,1.938078772,6.82621750722,6.82599,93.374751676,101,0.186419660108
