MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
629.482302436,76.9740800721,37.1495,0.731472070783,860.556201848,74,37.154923129,37.5515,0.816094,35.9367,629.482302436,37.1550790518,37.1495,-38.0116,74,778.752887247,947.447607951,629.482302436,0.0,1.64264,48.2156928957
597.359001454,67.8702981287,37.9088,0.788020911543,751.139433052,75,37.91449852,37.8218,0.805718,36.084,597.359001454,37.9149177473,37.9088,-38.7679,75,86.0820922545,902.91563349,597.359001454,0.0,2.53098,224.716132798
570.823242923,62.6991397415,38.6171,0.771638760128,738.758527194,76,38.6224539046,38.0601,0.824418,36.2722,570.823242923,38.6227138046,38.6171,-39.4916,76,200.456536141,900.353665553,570.823242923,0.0,2.1934,191.213351393
680.53758206,69.4466215965,39.3367,0.795461455273,737.039463481,77,39.342403376,38.3273,0.85572,36.4607,680.53758206,39.342794554,39.3367,-40.2104,77,628.632635975,830.008789934,680.53758206,0.0,2.60156,57.9942106735
666.13525623,69.3145942231,40.0819,0.805407953826,816.374562175,78,40.0885121259,38.5404,0.848807,36.6226,666.13525623,40.0888155493,40.0819,-40.9531,78,741.382474565,886.909244335,666.13525623,0.0,2.80141,41.2784009382
594.078645583,76.1071823279,40.8303,0.783382879379,818.500468147,79,40.8351037252,38.7849,0.846192,36.8068,594.078645583,40.8353360141,40.8303,-41.7015,79,315.518196545,956.05384028,594.078645583,0.0,2.29709,176.311746013
625.903516473,88.369177301,41.578,0.809724528191,1021.86738566,80,41.5837242287,39.0175,0.841831,36.9568,625.903516473,41.5840276131,41.578,-42.4519,80,978.870440715,1075.76963977,625.903516473,0.0,2.62296,27.8924409776
642.977551813,77.3265735571,42.3059,0.819554349662,859.354229716,81,42.3115827516,39.3218,0.858716,37.1567,642.977551813,42.3118754857,42.3059,-43.225,81,789.188076309,945.159161707,642.977551813,0.0,2.74703,52.7806582418
599.26250488,85.3999880965,43.0375,0.817196740343,995.184196089,82,43.0420669234,39.5681,0.852354,37.3092,599.26250488,43.0423933586,43.0375,-43.9267,82,932.41185115,1061.86642424,599.26250488,0.0,2.61581,40.964113417
679.449121362,86.5559659744,43.81,0.800256474068,842.246448347,83,43.8151533043,39.7665,0.860912,37.4553,679.449121362,43.8153619953,43.81,-44.6842,83,-239.038828965,1072.25440709,679.449121362,0.0,2.52419,391.9224425
715.728232027,97.4166677221,44.5108,0.806324524258,1122.48967102,84,44.5165267646,39.9787,0.876431,37.5874,715.728232027,44.5168830291,44.5108,-45.4039,84,1084.96949349,1168.60446646,715.728232027,0.0,2.71541,24.0273239459
670.561924879,83.5019483071,45.1892,0.841810186847,671.441482256,85,45.1953039198,40.1917,0.825993,37.7807,670.561924879,45.1956497723,45.1892,-46.0648,85,-328.066130331,969.241345917,670.561924879,0.0,3.21498,474.467583067
637.236034915,94.4944976883,45.9285,0.84029401199,1027.47700787,86,45.9328105756,40.5037,0.827357,37.9736,637.236034915,45.9331626353,45.9285,-46.796,86,975.934223918,1123.46081267,637.236034915,0.0,3.14738,46.3085271979
644.590177989,91.5280543817,46.6226,0.85558378273,917.815415864,87,46.6300559853,40.739,0.82795,38.137,644.590177989,46.6303775967,46.6226,-47.5043,87,844.718086992,986.741049963,644.590177989,0.0,3.12023,45.2706161972
657.167208825,91.6356797448,47.3015,0.899089692758,881.983261157,88,47.3077174871,41.0099,0.823585,38.3226,657.167208825,47.3082245266,47.3015,-48.1763,88,-347.8069211,1072.10352357,657.167208825,0.0,4.06381,411.359056238
646.044685963,97.7851493674,48.0095,0.836714057288,1024.58463466,89,48.0137611204,41.1947,0.852611,38.5346,646.044685963,48.0140854148,48.0095,-48.8953,89,975.941031897,1094.97328481,646.044685963,0.0,3.10545,38.936291121
748.860016693,90.8921351073,48.7074,0.853285704973,1068.83822538,90,48.7146673155,41.4191,0.835587,38.7045,748.860016693,48.7149100776,48.7074,-49.603,90,1001.81492032,1172.80044254,748.860016693,0.0,3.18316,47.7860172125
739.10629425,106.789293066,49.4724,0.859910219464,1128.33225385,91,49.4774502817,41.6101,0.826207,38.8599,739.10629425,49.4777072479,49.4724,-50.3812,91,1083.2448468,1157.70694458,739.10629425,0.0,3.32845,20.8286253309
730.183706558,91.6170824195,50.1696,0.875094455358,948.155399291,92,50.1759591863,41.8395,0.823857,39.0356,730.183706558,50.1763240271,50.1696,-51.0674,92,858.644483333,1026.80690582,730.183706558,0.0,3.63414,50.6826851752
752.416477712,101.050906655,50.8857,0.880344393929,1085.40535509,93,50.8912541473,41.9991,0.825291,39.2451,752.416477712,50.8916121264,50.8857,-51.7962,93,999.220777695,1162.42439641,752.416477712,0.0,3.77228,40.4231239414
728.092477597,91.3264855728,51.6402,0.891528771726,1037.03489684,94,51.6457916292,42.239,0.883463,39.4257,728.092477597,51.6463056845,51.6402,-52.5366,94,950.823252721,1131.86752837,728.092477597,0.0,3.95213,49.8680213851
