MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
360.285150281,50.7509,50.7509,62,1659.19410553,1659.19410553,50.7615854656,0.888958,1362.23752922,0.0,-52.362,62,35.2716,50.7619168435,229.27720909,542.73276418,39.9863,1.17562657136,4.25238,2552.42676373,1659.19410553
982.695276971,52.5954,52.5954,63,1941.71331934,1941.71331934,52.6076129983,0.906662,2000.71880051,0.0,-54.1945,63,35.5743,52.6079124081,260.699171072,830.529376466,40.4031,1.24319851684,5.46548,3172.66377959,1941.71331934
579.206371634,55.0644,55.0644,64,2351.46234005,2351.46234005,55.0764592076,0.892908,1185.28584996,0.0,-56.7066,64,35.8533,55.0767424738,207.226911204,460.538552555,40.8256,1.27684433753,6.53896,2201.21806637,2351.46234005
719.507420957,57.1071,57.1071,65,2460.19960417,2460.19960417,57.1205888291,0.888597,1973.50976812,0.0,-58.7247,65,36.1347,57.1209856129,252.379092663,877.905472524,41.204,1.27274633556,6.19657,3497.36327011,2460.19960417
996.875519021,59.1295,59.1295,66,775.907108496,775.907108496,59.1422771001,0.899222,1779.28403021,0.0,-60.7538,66,36.4088,59.142778097,235.346860863,733.751190827,41.6257,1.30225199668,6.88123,3503.89154275,775.907108496
1244.293418,60.5795,60.5795,67,1980.86693066,1980.86693066,60.593889969,0.902907,2400.92602479,0.0,-62.1375,67,36.7513,60.5941419577,275.772475812,925.7387898,41.9772,1.31699562064,7.08452,3669.93722186,1980.86693066
1011.3467565,62.4568,62.4568,68,1066.80495815,1066.80495815,62.4681270988,0.905709,2000.49435456,0.0,-64.0252,68,37.0573,62.468530244,259.819517215,654.170918585,42.3577,1.32713953833,7.19752,3130.37032553,1066.80495815
495.983295227,64.1806,64.1806,69,1448.81093175,1448.81093175,64.1924958601,0.910685,2468.46216322,0.0,-65.8049,69,37.3235,64.1929038099,272.994886585,1356.50996225,42.7338,1.34807921016,7.08129,3902.39514466,1448.81093175
949.975176402,65.1663,65.1663,70,931.944686871,931.944686871,65.1795531181,0.901724,1563.51643534,0.0,-66.7838,70,37.6018,65.1799353106,233.475512836,535.459239589,43.1094,1.39048725289,7.92253,2652.25226664,931.944686871
1586.45679316,67.1817,67.1817,71,931.054774986,931.054774986,67.1946337526,0.921953,2860.63152514,0.0,-68.8571,71,37.8467,67.1950606383,274.424280571,817.705462847,43.4876,1.35355562091,6.94594,3659.60687653,931.054774986
898.733864257,69.2635,69.2635,72,2060.42434993,2060.42434993,69.2761369175,0.893897,1666.13327983,0.0,-70.8818,72,38.1581,69.2765424162,250.549841137,703.583314444,43.879,1.40828669731,7.54981,3165.48089168,2060.42434993
1187.3985654,71.4191,71.4191,73,2415.81949674,2415.81949674,71.4319129644,0.91205,1794.18442755,0.0,-73.0957,73,38.4138,71.4323332362,264.784312996,748.080089557,44.3434,1.45752432113,8.85103,3378.75939645,2415.81949674
1220.11536096,73.6633,73.6633,74,1833.01674239,1833.01674239,73.6795882185,0.914865,2178.46823907,0.0,-75.347,74,38.6687,73.6797547558,286.597755813,795.501049658,44.7527,1.4067969838,6.838,3737.37169172,1833.01674239
896.545421985,75.7681,75.7681,75,2417.24406164,2417.24406164,75.7825874741,0.914627,2096.75692209,0.0,-77.4426,75,38.9603,75.7829128747,219.878823514,1165.38857147,45.1522,1.50977044201,10.5433,3536.71930326,2417.24406164
1096.17697984,77.8934,77.8934,76,1309.36060902,1309.36060902,77.9044693601,0.939743,2386.76958107,0.0,-79.5887,76,39.2873,77.9046790009,273.768323899,956.502729638,45.5833,1.45202762609,8.09243,3792.96189227,1309.36060902
939.098619733,80.0605,80.0605,77,2434.26747365,2434.26747365,80.079082238,0.918775,2132.79691439,0.0,-81.8301,77,39.5236,80.0793636625,257.796714134,983.935882271,45.9942,1.55524572924,11.5498,4085.42402881,2434.26747365
1001.50499051,82.6797,82.6797,78,2605.48982307,2605.48982307,82.6951245334,0.943482,3350.28520081,0.0,-84.453,78,39.7416,82.6955885954,308.93925158,1175.10566255,46.4604,1.59326298305,12.428,4070.79935954,2605.48982307
747.49240032,84.6847,84.6847,79,1906.10155858,1906.10155858,84.6987121467,0.92173,2795.72815555,0.0,-86.4497,79,39.9741,84.6990344409,298.55741125,1222.07306788,46.8798,1.5250339621,10.078,4069.40833547,1906.10155858
