MaxEsReturn,MaxReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,StdEsReturn,Iteration,PolicyRegParamNorm,AverageY,AverageReturn,MinEsReturn,AverageAbsQ,StdReturn,MinReturn,AverageQ,Epoch,AverageAbsY,QFunRegParamNorm
593.072136654,776.75047731,0.080998144969,0.897929,593.072136654,59.1129796994,0.0241475,-3.85936,0.0,89,36.7588,3.78562242911,626.357636027,593.072136654,3.7851,129.758434091,411.227016335,3.7851,89,3.78567902581,33.8655
486.750213678,740.022436143,0.0805727005489,0.900871,486.750213678,53.4722538834,0.0248237,-3.91301,0.0,90,36.9383,3.83910771572,646.377459629,486.750213678,3.83878,75.807865039,508.536899293,3.83878,90,3.83916942363,34.0591
509.000080128,796.726926845,0.0821440883991,0.929383,509.000080128,65.6583695315,0.0228276,-3.95686,0.0,91,37.1549,3.88522241252,696.980831241,509.000080128,3.88445,67.3559775539,570.28626107,3.88445,91,3.88526502013,34.3106
536.772119149,911.872570457,0.082796965163,0.89925,536.772119149,91.42136629,0.026797,-4.00708,0.0,92,37.3101,3.93358905587,712.676980016,536.772119149,3.93317,265.510458653,-46.5788777849,3.93317,92,3.93364404071,34.5321
459.647366963,751.240109419,0.0835517446575,0.872246,459.647366963,63.2388095961,0.0257945,-4.05532,0.0,93,37.4791,3.98049354233,520.415514458,459.647366963,3.98018,382.032952228,-576.331291518,3.98018,93,3.98057130127,34.7121
556.393134918,938.404523503,0.0817821622891,0.870499,556.393134918,79.7991460354,0.0197625,-4.10135,0.0,94,37.6428,4.02784544503,864.548367209,556.393134918,4.02706,72.2592885522,716.975640993,4.02706,94,4.0278995821,34.9334
533.411409783,954.668499407,0.0826144663911,0.86161,533.411409783,81.2828737042,0.0253956,-4.15566,0.0,95,37.8239,4.08397892247,896.728884847,533.411409783,4.0836,31.0728231579,839.964367967,4.0836,95,4.08402531754,35.1016
544.399264935,879.988528531,0.0844976413693,0.890517,544.399264935,57.8820810572,0.0277186,-4.19809,0.0,96,37.9938,4.12349318821,775.136753633,544.399264935,4.12296,99.2195848501,596.539832944,4.12296,96,4.12354412232,35.2909
541.162065712,828.041371821,0.0814343486021,0.885813,541.162065712,66.7173019904,0.0226854,-4.24886,0.0,97,38.1567,4.17614809918,653.446042987,541.162065712,4.17555,299.025533942,-235.347982078,4.17555,97,4.17618183795,35.4876
573.435233441,1007.90041244,0.083713979396,0.88622,573.435233441,79.5494369592,0.0268564,-4.30285,0.0,98,38.3206,4.22683529951,898.216109457,573.435233441,4.22656,78.2542612335,729.690736958,4.22656,98,4.22689317998,35.7162
616.023283054,950.102910636,0.0841916733293,0.909537,616.023283054,58.1776650469,0.0283762,-4.35106,0.0,99,38.51,4.27636785565,695.138014623,616.023283054,4.27575,441.408054971,-605.485358847,4.27575,99,4.2764321856,35.9115
610.160732688,922.519908945,0.0865938837421,0.901564,610.160732688,35.6283474706,0.0324355,-4.3935,0.0,100,38.6736,4.31889699746,652.857374837,610.160732688,4.31824,422.40997021,-591.335600922,4.31824,100,4.31898147599,36.0989
465.622775947,812.896261894,0.0828603590002,0.886195,465.622775947,63.663830106,0.0258341,-4.45144,0.0,101,38.8779,4.37207222962,644.541784747,465.622775947,4.37185,103.934706948,459.820643131,4.37185,101,4.3721186468,36.2817
590.248130215,875.338741174,0.0864745198877,0.897376,590.248130215,54.47172034,0.0326697,-4.49933,0.0,102,39.0741,4.42547718739,648.068833428,590.248130215,4.4248,433.325530142,-638.468982055,4.4248,102,4.42554636388,36.4608
538.416496927,874.344434887,0.0824060672399,0.884659,538.416496927,71.7165833196,0.0255003,-4.54287,0.0,103,39.271,4.46827080828,780.763175733,538.416496927,4.46801,64.0026415222,644.056775471,4.46801,103,4.46832013955,36.6511
-41.8494775939,908.505214841,0.08886352894,0.879254,-41.8494775939,68.5357239212,0.033643,-4.5735,0.0,104,39.3637,4.49914839048,805.036238799,-41.8494775939,4.49826,75.9441571617,666.021396532,4.49826,104,4.49923446182,36.887
553.411310216,912.335656306,0.0871676163211,0.86161,553.411310216,57.7936771233,0.0313367,-4.62537,0.0,105,39.4902,4.54918205434,826.109329934,553.411310216,4.54868,45.6486662497,766.640818,4.54868,105,4.54924727963,37.074
587.88176624,1021.32638704,0.0851754990474,0.862038,587.88176624,71.5773239277,0.0295238,-4.68351,0.0,106,39.6285,4.60801266534,865.040220781,587.88176624,4.60747,167.005413471,429.300862201,4.60747,106,4.60804196003,37.2596
