AverageDiscountedReturn,AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,AverageQ,MinReturn,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,MaxReturn,StdReturn,AverageReturn,Iteration,AverageEsReturn,AverageAbsQ,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,Epoch,AverageY
227.278955479,-141.74,46.2606,166.754130875,137.284,438.31601979,0.678258,68.6152,12.5980698108,54.424,2410.54044395,782.230738316,1726.16302817,98,263.331898268,137.384,536.947983678,137.33078004,3.18241938703,98,137.305048685
226.918944771,-144.101,46.4549,148.345065416,139.564,586.039168252,0.616477,69.0778,11.3427806538,53.4515,1187.93265239,160.626616949,821.295351472,99,155.876323468,139.659,441.183989268,139.592511515,3.24384496279,99,139.578168489
220.249146402,-145.947,46.6271,238.936693275,141.385,534.620484892,0.555379,69.5012,12.9367029916,56.2008,1110.94969899,163.456090692,805.354141395,100,301.754345986,141.473,744.464378615,141.413732059,3.2896810337,100,141.397373881
215.169173439,-148.201,46.7397,167.913161483,143.602,558.388616953,0.645547,69.9811,7.92761224678,52.6289,957.541556036,82.367393532,644.292803818,101,343.93716605,143.691,538.624931082,143.63486345,3.24995452034,101,143.615972022
232.921330363,-150.561,46.8799,137.39432708,145.921,599.082394423,0.680543,70.446,122.150034771,55.7576,1114.50297147,170.517724694,852.949223754,102,318.096623684,146.01,610.654752754,145.963022506,3.25948795532,102,145.939934416
238.083592852,-152.849,47.0859,173.071973074,148.122,637.96725651,0.694707,70.8917,53.2288957057,53.0214,1757.14501124,305.259019401,1252.01386073,103,340.708986517,148.219,593.549143053,148.150907196,3.23807892899,103,148.134226661
198.746675085,-154.839,47.3059,207.100050425,150.124,511.643871757,0.642168,71.4081,4.73167775233,60.1697,571.167204358,11.8899412681,535.348194375,104,273.929832207,150.221,669.683862166,150.151868048,3.36949198106,104,150.130243526
217.57648672,-156.708,47.4769,150.02585028,151.989,502.437690005,0.691336,71.8999,135.405829727,63.9481,1013.62821932,131.715760451,656.204845305,105,361.246607404,152.095,577.534456842,152.029657722,3.44300386718,105,152.009375315
208.005525643,-159.008,47.6837,215.344642896,154.354,491.196664962,0.637839,72.2795,8.10574104876,60.6359,794.059041717,65.8806127613,565.755609567,106,276.696508937,154.463,580.777095836,154.382793302,3.44340849934,106,154.367880995
219.143807201,-160.738,47.8842,197.47365835,156.125,551.276920724,0.649394,72.7411,34.6673605887,64.4545,1179.01026618,183.902575424,764.840981847,107,330.832422606,156.224,635.940958143,156.158598683,3.50449416638,107,156.140214891
181.687343549,-162.743,48.0525,109.220242281,157.983,358.760514683,0.618821,73.1859,23.4968621264,67.2464,807.339941097,73.6004530809,387.017258909,108,217.135236943,158.097,413.563254184,158.01522154,3.52420399671,108,157.999798878
220.299788308,-164.414,48.2892,119.817923698,159.671,275.662882884,0.632204,73.6084,25.6855205645,63.5347,3270.85594169,719.967608018,1255.40019763,109,201.212164063,159.803,330.476369677,159.719875147,3.50942025447,109,159.685501607
173.359204206,-166.414,48.4792,237.810640994,161.63,312.746824516,0.634025,74.009,14.3156414836,71.0944,370.230752012,16.7108385341,351.719720781,110,260.2330545,161.766,799.634343785,161.681198663,3.64325504072,110,161.650332298
165.705455224,-168.322,48.6547,218.878705476,163.568,283.48010576,0.629826,74.4255,98.8427133358,66.3834,366.539397901,15.493935411,326.358571013,111,296.366870583,163.674,792.310751352,163.601961439,3.5227903004,111,163.579982645
176.461395144,-169.767,48.8458,114.503843711,165.17,324.017490713,0.645327,74.8383,104.845338428,71.9114,380.215541648,7.63975601808,363.561922879,112,252.376930564,165.286,419.541080956,165.218488395,3.6000613098,112,165.189123783
167.201529173,-171.106,49.009,131.092549058,166.319,182.589333376,0.637692,75.1892,91.0735525499,70.5496,375.05183634,44.9357578881,331.388460349,113,276.285098206,166.438,531.633763043,166.35433454,3.62102653764,113,166.33341337
197.14591575,-173.483,49.2084,177.0074002,168.822,338.880709236,0.642205,75.619,7.94586241719,65.0698,935.283051215,178.314919985,497.424165114,114,226.261589361,168.932,653.074474772,168.868130975,3.54378523014,114,168.842453694
176.67129723,-175.146,49.4391,66.744824421,170.442,345.848312492,0.679169,76.0496,188.417591241,79.5039,375.239012572,6.78666643269,365.346431313,115,277.951709205,170.555,365.673069569,170.466265452,3.69371830132,115,170.447399951
196.65230559,-176.777,49.6485,204.955054466,172.081,367.067953566,0.678745,76.5028,12.3766989466,73.2939,1737.39012776,195.982687151,495.58482566,116,285.62006245,172.214,694.997257591,172.129131733,3.70224658205,116,172.102157144
203.204513452,-178.23,49.7802,201.034450868,173.605,273.331755465,0.700442,76.8879,5.73349819206,79.3068,1892.46281104,385.093858322,838.052367991,117,290.604173289,173.762,636.415879055,173.661858363,3.75061362336,117,173.619693559
208.941403227,-179.838,49.9679,223.864107654,175.269,369.996543181,0.689148,77.3153,100.829346325,79.8201,1336.2575227,199.783622795,587.4994896,118,300.848153258,175.407,696.602163679,175.312926662,3.74400220333,118,175.280898605
209.398446505,-181.144,50.1323,215.875329695,176.523,281.927880578,0.715348,77.7057,16.9106438794,71.5589,1729.85628338,409.880868671,866.442402146,119,209.826172038,176.659,823.81902477,176.576733378,3.61449422748,119,176.545545451
183.012075549,-182.5,50.3135,157.371222548,177.888,323.183981351,0.65352,78.0935,55.2601487708,76.4962,598.037043984,87.2246759203,400.165905726,120,240.476775278,178.026,499.674829124,177.953139415,3.71574653149,120,177.903744286
189.886776784,-183.947,50.4401,150.519820398,179.444,355.404434664,0.682471,78.522,80.9245088919,85.1604,1535.47943015,249.664201473,483.425254259,121,268.562669973,179.612,603.089256075,179.511310326,3.85412118603,121,179.462338237
161.976777972,-185.161,50.6263,187.773099808,180.513,120.858271772,0.700034,78.8984,9.16400876088,78.2403,537.688183663,71.7004059298,321.156803689,122,236.972362042,180.681,557.75690902,180.584330956,3.77415079468,122,180.524437734
